ImageID	ClassID
29796-14601-23662	catedral
20481-4745-28695	catedral
12303-12638-14782	catedral
13725-29641-11394	catedral
9951-25030-4235	catedral
25508-9024-15968	catedral
2020-17151-18071	catedral
31446-2273-3499	catedral
22567-252-14912	catedral
32120-31232-4350	catedral
20480-21005-18776	catedral
22913-7528-16160	catedral
22414-19113-26882	catedral
29777-31954-1661	catedral
464-28878-898	catedral
12279-20667-2684	catedral
15062-12588-15078	catedral
22892-22393-23158	catedral
15165-11070-15385	catedral
17448-13231-5610	catedral
29532-22718-30761	catedral
5773-27456-7284	catedral
13393-29988-24195	catedral
15661-24731-14114	catedral
27180-11286-19734	catedral
6173-12283-19421	desconegut
26635-16060-16794	desconegut
9105-1207-27189	desconegut
28153-2397-9738	desconegut
27998-24763-29043	desconegut
14350-16580-2220	desconegut
7716-10535-3978	desconegut
23894-17610-345	desconegut
25842-18519-29563	desconegut
22090-25263-26195	desconegut
27359-6011-5584	desconegut
5119-5845-21364	desconegut
2162-635-4996	desconegut
2151-31016-25042	desconegut
13850-1388-5840	desconegut
2020-19642-29081	desconegut
27397-9193-25590	desconegut
6800-16491-11432	desconegut
31789-11383-14508	desconegut
13787-7711-31796	desconegut
2750-1251-28359	desconegut
10940-2896-17135	desconegut
23932-24417-31575	desconegut
32586-6828-165	desconegut
21532-7697-25472	desconegut
3131-10492-7947	desconegut
30042-22591-15462	desconegut
10265-24318-22503	desconegut
21596-550-28729	desconegut
22085-17403-7788	desconegut
22083-26678-2118	desconegut
2312-16439-6447	desconegut
20911-11036-11107	desconegut
9729-31283-10558	desconegut
25663-9530-18450	desconegut
15652-30888-1718	desconegut
8340-12313-23828	desconegut
9104-13160-28666	desconegut
5278-7363-8391	desconegut
2477-18162-1508	desconegut
7939-25737-7691	desconegut
14688-12819-23815	desconegut
22789-32074-1360	desconegut
12076-20620-483	desconegut
1495-25495-5182	desconegut
15717-30272-20094	desconegut
3022-7149-24480	desconegut
13127-10618-6177	desconegut
6254-25887-19790	desconegut
2839-6217-31568	desconegut
3289-16668-26202	desconegut
4376-21680-10065	desconegut
23145-21797-3773	desconegut
658-9876-15075	desconegut
4242-11748-18078	desconegut
17969-14354-4208	desconegut
32083-17348-26253	desconegut
27184-6665-26644	desconegut
12012-3785-23764	desconegut
23998-20939-5410	desconegut
16329-5422-1090	desconegut
22380-10995-32491	desconegut
19226-20257-26538	desconegut
31520-13500-18267	desconegut
32113-20096-13248	desconegut
26830-32008-6040	desconegut
5514-10689-17770	desconegut
12417-22339-6243	desconegut
699-3417-22061	desconegut
29239-12357-32555	desconegut
15143-29601-30127	desconegut
23549-16411-29493	desconegut
3203-15471-11089	desconegut
32054-24878-7104	desconegut
1847-28705-11043	desconegut
4327-10775-2812	desconegut
3924-1033-31992	desconegut
22707-18292-31031	desconegut
25982-23004-26294	desconegut
12677-10394-30861	desconegut
216-22905-14268	desconegut
951-22856-31610	desconegut
24769-31316-30181	desconegut
11404-27247-32369	desconegut
20435-19912-14764	desconegut
32382-8140-5394	desconegut
30582-14825-10363	desconegut
23573-19327-19380	desconegut
15583-13843-26260	desconegut
22377-32597-21156	desconegut
25445-27341-4589	desconegut
7655-5800-15769	desconegut
23378-15741-27721	desconegut
5431-27459-13747	desconegut
9010-3628-14029	desconegut
1191-29347-20825	desconegut
1912-10224-8704	desconegut
5185-18073-31895	desconegut
4383-9273-22247	desconegut
4143-18219-7560	desconegut
3241-5482-20135	desconegut
19639-30271-4652	desconegut
22881-23502-7687	desconegut
30296-7635-2881	desconegut
12507-3011-22068	desconegut
382-3670-6790	desconegut
7406-12364-13224	desconegut
22261-2539-29207	desconegut
4703-8901-26528	desconegut
25161-17916-25457	desconegut
18881-1450-1334	desconegut
4409-19337-12386	desconegut
10965-12763-11660	desconegut
4406-18633-1754	desconegut
30429-25883-5686	desconegut
20115-7356-31220	desconegut
25597-729-8829	desconegut
20428-14146-5392	desconegut
27270-31916-14262	desconegut
3979-5543-25211	desconegut
18924-7993-22902	desconegut
2593-20393-27590	desconegut
38-29833-926	desconegut
31896-8453-29457	desconegut
22004-23342-23069	desconegut
27223-19943-22593	desconegut
25469-12339-8416	desconegut
24531-13936-30640	desconegut
27799-5591-22285	desconegut
28047-32088-29777	desconegut
19301-6965-8455	desconegut
19388-25656-4683	desconegut
11502-26394-22881	desconegut
27205-28530-5776	desconegut
8162-2659-27635	desconegut
29370-25276-17381	desconegut
30060-23040-17799	desconegut
11527-19023-28769	desconegut
7002-30328-20473	desconegut
